run_id,source_file,experiment_label,problem_id,base_function,seed,fe_used,budget_match_status,historical_final_error,paper_reported_mean,paper_reported_std,better_than_paper_reported,offline_error_delta_vs_paper,runtime_dispatch_allowed,comparison_role
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-5\A1\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A1,ackley,5,3001000,near_paper_3m_fe,7.868780e+04,7.76E4,1.25E1,0,1.087801e+03,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-5\A2\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A2,ackley,5,3001000,near_paper_3m_fe,7.870847e+04,7.81E4,9.78E0,0,6.084690e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-5\A3\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A3,ackley,5,3001000,near_paper_3m_fe,7.869242e+04,7.86E4,2.09E1,0,9.241738e+01,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-5\A4\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A4,ackley,5,3001000,near_paper_3m_fe,7.876676e+04,7.83E4,1.14E1,0,4.667640e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-5\A5\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A5,ackley,5,3001000,near_paper_3m_fe,7.873026e+04,7.85E4,2.35E1,0,2.302580e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-5\A6\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A6,ackley,5,3001000,near_paper_3m_fe,7.908550e+04,7.80E4,7.06E0,0,1.085504e+03,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-5\E2\elliptic\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,E2,elliptic,5,3000000,near_paper_3m_fe,3.601300e+06,6.87E6,4.73E4,1,-3.268700e+06,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_m179_route_a_s_family_low_risk_same_budget_smoke_run\m179_route_a_s_family_low_risk_same_budget_smoke_tfes3000000\S2\no_action_baseline\559c387d970ea6709068891acda19aa47f4287bdd62d656171c6d9cbc8eb0a5d\S2\schwefel\evaluation_record.txt,mi_arac_action_m179_route_a_s_family_low_risk_same_budget_smoke_run,S2,schwefel,,2700000,non_3m_fe,2.258018e+04,5.58E3,3.21E1,0,1.700018e+04,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_m179_route_a_s_family_low_risk_same_budget_smoke_run\m179_route_a_s_family_low_risk_same_budget_smoke_tfes3000000\S2\no_action_baseline\edaa17699f278466a413a3ce8084fa98c740153b666a6c7e9d5da2803ef8d288\S2\schwefel\evaluation_record.txt,mi_arac_action_m179_route_a_s_family_low_risk_same_budget_smoke_run,S2,schwefel,,2700000,non_3m_fe,2.258018e+04,5.58E3,3.21E1,0,1.700018e+04,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_m179_route_a_s_family_low_risk_same_budget_smoke_run\m179_route_a_s_family_low_risk_same_budget_smoke_tfes3000000\S2\route_a_m177_repaired_heterogeneous\4f796679805d58dfea001dd63c76ea41bf4165ae928cef54674376b040c99ca5\S2\schwefel\evaluation_record.txt,mi_arac_action_m179_route_a_s_family_low_risk_same_budget_smoke_run,S2,schwefel,,2700000,non_3m_fe,2.258018e+04,5.58E3,3.21E1,0,1.700018e+04,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_m179_route_a_s_family_low_risk_same_budget_smoke_run\m179_route_a_s_family_low_risk_same_budget_smoke_tfes3000000\S2\route_a_m177_repaired_heterogeneous\5abd2b079fc5f0f09b4690c3a88da0d609617bfa3b203e43d83b9a963a2a07f6\S2\schwefel\evaluation_record.txt,mi_arac_action_m179_route_a_s_family_low_risk_same_budget_smoke_run,S2,schwefel,,2700000,non_3m_fe,2.258018e+04,5.58E3,3.21E1,0,1.700018e+04,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_m179_route_a_s_family_low_risk_same_budget_smoke_run\m179_route_a_s_family_low_risk_same_budget_smoke_tfes3000000\S3\no_action_baseline\5eadaf4f308a289de750762084dd12dc37fb1fdb3a087bbecd8e698641d51b9d\S3\schwefel\evaluation_record.txt,mi_arac_action_m179_route_a_s_family_low_risk_same_budget_smoke_run,S3,schwefel,,2700000,non_3m_fe,7.769275e+03,9.72E3,4.75E1,1,-1.950725e+03,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_m179_route_a_s_family_low_risk_same_budget_smoke_run\m179_route_a_s_family_low_risk_same_budget_smoke_tfes3000000\S4\no_action_baseline\2e2b13219b0f47069ec77aab8af0510202589299242c46c36c1943a9704b153c\S4\schwefel\evaluation_record.txt,mi_arac_action_m179_route_a_s_family_low_risk_same_budget_smoke_run,S4,schwefel,,2700000,non_3m_fe,1.331804e+05,1.24E3,5.31E1,0,1.319404e+05,0,offline_historical_hcc_main_vs_paper_reported
