case_id,run_seed,selected_action,phase1_fes,terminal_fes,final_error,elapsed_seconds,checkpoint_hash,action_result_hash,receipt_hash
S3,20260747,smp,180000,3000000,21947.53347950629,2274.178906,04a5325964bfe5dd25175ad55037936d462078ead61c6b3a5249033fd9dec07b,56909ebafa6ad8def0784f718ba8d0156eee454ccd8b3391481afa3c4e6d7b8a,b664e887b3c6fcdfdcb98e9e8ee32eb47e741cfdd341743d479c1f94c6d80510
S4,20260747,smp,180000,3000000,11833.177337131496,2543.108046,0835a3fc0f35cba4ff39b4e2cf5a956555cd09776ef7b46b232c87acbd285448,8391a1bf8a3c02ea091b9f861275b4552b46c7fef53c688552f23ee85d620184,c3c41436c9619c592af453e00ae52139b8f6b3c5438b5691c3bdd1706f65d479
S5,20260747,smp,180000,3000000,9113.480061004268,2617.047658,64eb7223c7c60819f57b7d7ca2b9a13bf15df2286bb0b752b55914f88a7ed1e4,4c3d4fc10df3e0f023a5199b8ad4786ced9a9d54d209311d9dbb42c3d677e101,cd4c205481144e8541e81bdc9e85845bd6d0af1148f7490e7c8344975b458e92
S6,20260747,smp,180000,3000000,12807.525511068547,2548.293968,1f014e279c4b1b9f898d43b6908d4500ce6da2887fc433a2016d1afbd3999b4a,580894e88865bb252e844d6ba62c16e74cfe1e8a6155e95d89b6e6886f65eeae,f733e548c0597152a3ba89a2d4d20449bc05c124dbcd6c38a44014c89749797b
A1,20260748,aor,180000,3000000,78027.06041861618,1050.121991,30cfc76f20f8580d00cdfcca90093775ae10054b299e689833a8e26c2e09da04,83b894e74946db89da0086b34fc6c2ae04099f376abf65f0cbfb29855b693647,ebeaceda6d0b808d6fd1acf89bba08974eb0272a0016342c3e160e2d1cce1a8f
A2,20260748,aor,180000,3000000,78157.58540345127,1066.973503,3b9aa92f04f734edc4db8ad1529d1edbadcdc2362dfc70a0ae2639913533b4d8,8512872cdb9cc8cd131e23f89b40abaf0a605b8430c235d3d19b7e69013d1e10,da184bd1a9fbabd22da8505981c6eecf07e020f0d53dd17126d272ccc8985f79
A3,20260748,aor,180000,3000000,78169.28358263159,1091.232636,680b1a6949334906d06dd7fbf2c878e3beba65eda34ae4a02b17850df5fad4ed,861616a9ee0d53dbc08cf7a29b66e2c9804e3ca6a6f545a4619b864c82574c84,5a42b5a9dd2178338127406e7b3a92dc282057b2691a8d3c5f40e520091dd540
A4,20260748,aor,180000,3000000,78040.66712399971,1112.650112,8c611a4127c6213abcedfb598b52e6560e187d3cf2cf13eea9f19037cacb5e97,319a4f7182f3c26f2388c5dbdb81461f45b34e5c17e3d0b4ff7292175c8c1d62,1906b8184567a9a23bb2932c1bc68874fc848f70942034ee8f1066260bca3431
A5,20260748,aor,180000,3000000,78538.81998209604,1133.180551,25dfc20ec464d7d8c134d04fd1be4f252953593d6c6d4f7cd9145970f9dba9a2,24d7931dcf4e55c0d7a587f14276242a99eabed8713b9ae8511bd6be998d5053,e9dca41cf798f876552be9fb735d95eb29ca30bcce5e71c1bed3f5c5709c405f
A6,20260748,ctp,180000,3000000,78399.5532677689,1198.74502,0abe30bb7fd070a003ef9e961e6baaf6a479ad3599d8e6db1f4759df6761362c,8689af16e20b15712931a10033124bca406107a2e74ec92bb68db8349b58386e,b103427cd7ab3e06403d03b0c2e5ab94c12b3d9c2f0e76e3b165fa95d35ce4b0
E1,20260748,ctp,180000,3000000,213241266.69091615,1760.605928,130723e437d1ddda139909b8a4e1d658c8b2fb7fc0f3d2493e5d02a3e2297a3f,d6ea318d1986725e8628d43bbd49adaeb6964062c65720cd6d7438ded79b8ae9,549b92a77b340d8c187c4d14a4ea90c6565ee67ab115a8e4e69d206b0a27e37c
E2,20260748,ctp,180000,3000000,12687188.156783048,1021.50554,25f77194cfd88f5e126f2f9dfda3de8bbe3ed38a429f37455793e384fd9ce5be,f49e661a062d25a76cc53c7d396c83007e33c83a5053e10ce3779a93e6d7c6e8,57fd575f0363c8112eef41821f2b4e8c557d750109d73ac3eade94fc5d4f1f3a
E3,20260748,ctp,180000,3000000,10782462.185303513,1039.951781,0138fece84c92cc97f4b0fa4bbec852b1e54b7fcee3c20afa2226f71da460039,d7d0ffc03b988d2790575066470757d7a43c0cdae49e0d1fa1e942ed3c4dea5b,c5952c440fa5c7ab26411934a584c1cc0284cd4831d245db94315155ca6abb9b
E4,20260748,ctp,180000,3000000,10316581.165219158,1067.525142,c19e824e14570fc7b0229df82ba824d8fbeb9baa326ae76c3320ad3dda329b9a,881c5da31e1767c3fd53376aef585442cd14ee3188f41b39eb25396c6d5c4204,ac9364a7da84fd728a03681b878871d1dd908577c3c65fcafdf3dd3d875c5baa
E5,20260748,ctp,180000,3000000,15238312.627404416,1085.27984,829544a0db3b7f91bff9649a184ad82080d2d1933b8533f8a48bf3a462007971,5d881719de235c3479eb91c5a9727b9faaba3291e9831c0862e7c253bc21a7ce,890fb0bc8f600d26b59ef327a2e00d5111097b6cecf30a82546c622b5267827d
E6,20260748,ctp,180000,3000000,13660295.380656151,1122.20277,f8f474c11e758969db1f144d38f8a3926394633a34a81ec8416c28ba288eeaa3,5f46d644d0dc34d7d708ff875c5cfac4dd6a1c10d2868a9ac819f6a700bf7c69,23b6ce61b336b3089e5ad0a0fb5dd71d14711e0f7d59a3b1f6d1f37bc1859b79
R1,20260748,ctp,180000,3000000,314286.30404907634,1809.197741,8f6a996296103fb0acf402b7e7d5c8d6a1406c608f81f45269e44ffbb7878089,d565d0b43627bac3bff2ba85b2a7d529caf30bb78970592924629e461c7bd47a,e21a2c161b8562ec84d4bf4fce5aa7163ded824aa1d792eb7c4ef43b50de7a35
