case_id,run_seed,action_name,phase1_fes,terminal_fes,final_error,checkpoint_hash,action_result_hash,receipt_hash
A3,120,aor,180000,3000000,77906.45158466413,596d3901ca112afd6133cf45840b1b7e27186b4576fe2e40e138bb2eaed88042,c76cfed7e5ff864ea2f5c5884a841b2e5865ba61cfdfebd9889f1894f554bcd8,e4be4967ea3ec944d38a04ea39dbab1dee08bcb3577c2357d906526f62f75f9a
A4,120,aor,180000,3000000,78132.47645954503,7d453eb1ab76d29adde8367735793f3231a89df2208d119c98cc3b85ea320ebd,29cf98bd36a3742373a384e48087d87f1b442910a8e6ac4e652413507d67b6e9,59dcd068d3890e3bc3bf0f7ac08d5e8a3810723c31349611245a340cae3b9a09
A5,120,aor,180000,3000000,78344.37511541795,5c5fb9c908ffdef567c7626fe1da4bd821de2e8d4db6d081d2c64f7a5ef201e1,58ec6a718680d72e9ef5be3f8200362aa7adfc83a578b2152c11cc53dda0d58a,3ce3ab4c8bc870b64a9b5b65e6dca264e0a11fd67f8a79b8cc1dd48c7f0bdae2
A6,120,aor,180000,3000000,78113.89291295373,428eea5f9b8b64e1a53e005203177d85e92c5e6e87cb02c997e55dd04e88c5f6,ac642d6aff034312b1076f215743c3688485c6bab91b28f7b54c8db38f484b7b,6622bf8943fb94f0c9a2d3b5e7f30912cc563a57de0b3a80e076b136f743aed6
E1,120,smp,180000,3000000,205001.52312939244,b7c6392990a58619fea96f7478fce9ce4e4b5ef17f731bc238bb143cc2247ed4,233133f97d63884aec7b2943af70701bb86432ab8ed0996b854969c11e929291,3fefb41abffcc93d3957eb85b7dbaafd3c3ee47f7e18b04fb1a9d54c3ee1cec1
E2,120,smp,180000,3000000,3924130.1203881567,1d209fb7d14d00b85e05164e9f70b71034c40d44263604e3806b3d35fcddaf37,8936f8d91c8fc1e29587a57d457ea6888841c0ad696c44c8c0ec609763b944d4,03cdc808edd60493aa295af78e93d92b77fe8bc8dcc36182a5a359ea33146da6
E3,120,smp,180000,3000000,4987118.193336905,cff7d3144b8f6d50ad9632f8cf6e04fbaf5757ce08adc263ee384524ab46d9cc,e6c8dae722761188bdf6e67c27d76fc5c10ab0e489d8db28ccaef3d6a205fa50,02444b4411f1587ec1a1fdc54fa745d00f908eedad41817755baa93d627f2f90
E4,120,smp,180000,3000000,11657791.873963267,4a95c8f1a36691aaa3a0d355f193b113be5ec76e0c44422a095526ae58d52861,152f65495e0aa0aa6fe94a79e3a8a4c41d6f9feac1e9059559b363b19397a7d5,6bd4ab549cbf3e3431faa7b10fdb51c26f816d901b79ec49ae450ba96d4e9fed
E5,120,smp,180000,3000000,11298182.783982065,460112bc07de414b4d53ba900148a5b4a12309d05aafd6fd99ebf7c4b57e6d9e,6afa27df1a57a785576f02e26b48e81c24a3214cc0badae6f14650732711e2ee,36c964a20cf52be363c4f4d6a0593711d03439b348de80b503d99b1824247916
E6,120,smp,180000,3000000,15790741.31394433,2e3542d74463c31bfb65bb55480f9c59fe5ab76cd489a373ce8bb9f5a1b1a4da,c1ba06ecf6e4a85d43924f5ce397a9b4a7d54563bde130ae0bb88385c3809856,3ee056d5dfdbd077d1cf4df5c756b15fb421ccc1bf80ac7bdd3637ad2f20a7a0
R1,120,gcb,180000,3000000,190322.38315284776,7b88df76b4f4efffa86e9024b61e5e8d02217ee5f48a72b01bf44b1f2d8faffc,5225dadc2836395c63524465ae421fe7ef38adb0e71ce25c72f87b99b81c882f,471607b238efde7001fd9af3fee6a79fa0a8c0117a380a36c0878182e9d0e228
R2,120,gcb,180000,3000000,165909.26286811227,c28347c956f9b607dc9046040d41942d6e0b861242d8eecda3b55757d584f6e5,e2bac3f6a52be846339fe3996e02659e3fd6cfb4b506c42566bd8c118bb5a519,dcf47846313cfb3a88b3fc2c51ebd626bff24b1addcb22455b26f26d775289f8
R3,120,gcb,180000,3000000,298316.55336224445,0821290cda001e163839da0bea270b7db3504273ef20a6d567c47be9871149d6,74f017cd32aff88ee442fb1ef2f95a9160dc3835fa5f695bba8cda0c50e1e39e,1f3fcce0e05e79516db4264e78ad794dd1b704f90577a9b55e1a2f527b7c619b
R4,120,gcb,180000,3000000,448139.51435787097,22fbca661a225f1f12f9a77bb0d78fdb6f023b0909e72c665c0235cb70d80f28,c3ce8f910fd30f11bddb58562b8b4122ff9f2875ebc67a824cd72803f0fbd4d3,b66dbb5f4a70cdaad4478d9799f697587c4c35c7fe7271e72355df3c022295a5
R5,120,gcb,180000,3000000,330545.54059306404,b9a05063a5df60716b749a3d08009e7ba174f0292926397019902301885f27c3,9cbffc239a9a4f25687a4d4703f89d8d1ff5a88c38f948cd650346648dde4d64,16c78cc095427f020d1a9e7f447497eb94ce912d05aad0502c80bf330bf73abf
R6,120,gcb,180000,3000000,560076.9859528809,6296f077ccc7c443dd716f14f6b49092dc394e22b70dbfacc1769137a33a6f92,b48482429af21d1e7c18a02acba2499b41b19ffdd77fe6eb13de19fea49716f4,997fb5254292491b3e2198a1159614748629c7184356783629374e108be5319d
